COORDINATE,GEO,Age group,Sex,Response,Estimates,UOM,SCALAR_FACTOR,VECTOR,VALUE,STATUS
3.9.2.7.4,Quebec,65 to 74 years,Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116753732,N/A,F
3.9.3.1.1,Quebec,65 to 74 years,Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116753733,33.0,E
3.9.3.1.2,Quebec,65 to 74 years,Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116753734,100.0,N/A
3.9.3.1.3,Quebec,65 to 74 years,Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116753735,100.0,N/A
3.9.3.1.4,Quebec,65 to 74 years,Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116753736,100.0,N/A
3.9.3.8.1,Quebec,65 to 74 years,Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116753737,30.0,E
3.9.3.8.2,Quebec,65 to 74 years,Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116753738,90.2,N/A
3.9.3.8.3,Quebec,65 to 74 years,Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753739,69.5,N/A
3.9.3.8.4,Quebec,65 to 74 years,Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116753740,97.4,N/A
3.9.3.2.1,Quebec,65 to 74 years,Female,Very satisfied,Number of persons,Persons,thousands,v116753741,N/A,F
3.9.3.2.2,Quebec,65 to 74 years,Female,Very satisfied,Percentage of persons,Percent,units ,v116753742,N/A,F
3.9.3.2.3,Quebec,65 to 74 years,Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753743,N/A,F
3.9.3.2.4,Quebec,65 to 74 years,Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116753744,N/A,F
3.9.3.3.1,Quebec,65 to 74 years,Female,Satisfied,Number of persons,Persons,thousands,v116753745,N/A,F
3.9.3.3.2,Quebec,65 to 74 years,Female,Satisfied,Percentage of persons,Percent,units ,v116753746,N/A,F
3.9.3.3.3,Quebec,65 to 74 years,Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753747,N/A,F
3.9.3.3.4,Quebec,65 to 74 years,Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116753748,N/A,F
3.9.3.4.1,Quebec,65 to 74 years,Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116753749,N/A,F
3.9.3.4.2,Quebec,65 to 74 years,Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116753750,N/A,F
3.9.3.4.3,Quebec,65 to 74 years,Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753751,N/A,F
3.9.3.4.4,Quebec,65 to 74 years,Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753752,N/A,F
3.9.3.9.1,Quebec,65 to 74 years,Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116753753,N/A,F
3.9.3.9.2,Quebec,65 to 74 years,Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116753754,N/A,F
3.9.3.9.3,Quebec,65 to 74 years,Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753755,N/A,F
3.9.3.9.4,Quebec,65 to 74 years,Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753756,N/A,F
3.9.3.5.1,Quebec,65 to 74 years,Female,Dissatisfied,Number of persons,Persons,thousands,v116753757,N/A,F
3.9.3.5.2,Quebec,65 to 74 years,Female,Dissatisfied,Percentage of persons,Percent,units ,v116753758,N/A,F
3.9.3.5.3,Quebec,65 to 74 years,Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753759,N/A,F
3.9.3.5.4,Quebec,65 to 74 years,Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753760,N/A,F
3.9.3.6.1,Quebec,65 to 74 years,Female,Very dissatisfied,Number of persons,Persons,thousands,v116753761,N/A,F
3.9.3.6.2,Quebec,65 to 74 years,Female,Very dissatisfied,Percentage of persons,Percent,units ,v116753762,N/A,F
3.9.3.6.3,Quebec,65 to 74 years,Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753763,N/A,F
3.9.3.6.4,Quebec,65 to 74 years,Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753764,N/A,F
3.9.3.7.1,Quebec,65 to 74 years,Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116753765,N/A,F
3.9.3.7.2,Quebec,65 to 74 years,Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116753766,N/A,F
3.9.3.7.3,Quebec,65 to 74 years,Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116753767,N/A,F
3.9.3.7.4,Quebec,65 to 74 years,Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116753768,N/A,F
3.10.1.1.1,Quebec,75 years and over,Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116753769,N/A,F
3.10.1.1.2,Quebec,75 years and over,Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116753770,N/A,F
3.10.1.1.3,Quebec,75 years and over,Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116753771,N/A,F
3.10.1.1.4,Quebec,75 years and over,Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116753772,N/A,F
3.10.1.8.1,Quebec,75 years and over,Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116753773,N/A,F
3.10.1.8.2,Quebec,75 years and over,Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116753774,N/A,F
3.10.1.8.3,Quebec,75 years and over,Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753775,N/A,F
3.10.1.8.4,Quebec,75 years and over,Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116753776,N/A,F
3.10.1.2.1,Quebec,75 years and over,Both sexes,Very satisfied,Number of persons,Persons,thousands,v116753777,N/A,F
3.10.1.2.2,Quebec,75 years and over,Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116753778,N/A,F
3.10.1.2.3,Quebec,75 years and over,Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753779,N/A,F
3.10.1.2.4,Quebec,75 years and over,Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116753780,N/A,F
3.10.1.3.1,Quebec,75 years and over,Both sexes,Satisfied,Number of persons,Persons,thousands,v116753781,N/A,F
3.10.1.3.2,Quebec,75 years and over,Both sexes,Satisfied,Percentage of persons,Percent,units ,v116753782,N/A,F
3.10.1.3.3,Quebec,75 years and over,Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753783,N/A,F
3.10.1.3.4,Quebec,75 years and over,Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116753784,N/A,F
3.10.1.4.1,Quebec,75 years and over,Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116753785,N/A,F
3.10.1.4.2,Quebec,75 years and over,Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116753786,N/A,F
3.10.1.4.3,Quebec,75 years and over,Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753787,N/A,F
3.10.1.4.4,Quebec,75 years and over,Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753788,N/A,F
3.10.1.9.1,Quebec,75 years and over,Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116753789,N/A,F
3.10.1.9.2,Quebec,75 years and over,Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116753790,N/A,F
3.10.1.9.3,Quebec,75 years and over,Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753791,N/A,F
3.10.1.9.4,Quebec,75 years and over,Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753792,N/A,F
3.10.1.5.1,Quebec,75 years and over,Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116753793,N/A,F
3.10.1.5.2,Quebec,75 years and over,Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116753794,N/A,F
3.10.1.5.3,Quebec,75 years and over,Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753795,N/A,F
3.10.1.5.4,Quebec,75 years and over,Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753796,N/A,F
3.10.1.6.1,Quebec,75 years and over,Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116753797,N/A,F
3.10.1.6.2,Quebec,75 years and over,Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116753798,N/A,F
3.10.1.6.3,Quebec,75 years and over,Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753799,N/A,F
3.10.1.6.4,Quebec,75 years and over,Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753800,N/A,F
3.10.1.7.1,Quebec,75 years and over,Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116753801,N/A,F
3.10.1.7.2,Quebec,75 years and over,Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116753802,N/A,F
3.10.1.7.3,Quebec,75 years and over,Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116753803,N/A,F
3.10.1.7.4,Quebec,75 years and over,Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116753804,N/A,F
3.10.2.1.1,Quebec,75 years and over,Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116753805,N/A,F
3.10.2.1.2,Quebec,75 years and over,Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116753806,N/A,F
3.10.2.1.3,Quebec,75 years and over,Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116753807,N/A,F
3.10.2.1.4,Quebec,75 years and over,Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116753808,N/A,F
3.10.2.8.1,Quebec,75 years and over,Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116753809,N/A,F
3.10.2.8.2,Quebec,75 years and over,Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116753810,N/A,F
3.10.2.8.3,Quebec,75 years and over,Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753811,N/A,F
3.10.2.8.4,Quebec,75 years and over,Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116753812,N/A,F
3.10.2.2.1,Quebec,75 years and over,Male,Very satisfied,Number of persons,Persons,thousands,v116753813,N/A,F
3.10.2.2.2,Quebec,75 years and over,Male,Very satisfied,Percentage of persons,Percent,units ,v116753814,N/A,F
3.10.2.2.3,Quebec,75 years and over,Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753815,N/A,F
3.10.2.2.4,Quebec,75 years and over,Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116753816,N/A,F
3.10.2.3.1,Quebec,75 years and over,Male,Satisfied,Number of persons,Persons,thousands,v116753817,N/A,F
3.10.2.3.2,Quebec,75 years and over,Male,Satisfied,Percentage of persons,Percent,units ,v116753818,N/A,F
3.10.2.3.3,Quebec,75 years and over,Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753819,N/A,F
3.10.2.3.4,Quebec,75 years and over,Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116753820,N/A,F
3.10.2.4.1,Quebec,75 years and over,Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116753821,N/A,F
3.10.2.4.2,Quebec,75 years and over,Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116753822,N/A,F
3.10.2.4.3,Quebec,75 years and over,Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753823,N/A,F
3.10.2.4.4,Quebec,75 years and over,Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753824,N/A,F
3.10.2.9.1,Quebec,75 years and over,Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116753825,N/A,F
3.10.2.9.2,Quebec,75 years and over,Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116753826,N/A,F
3.10.2.9.3,Quebec,75 years and over,Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753827,N/A,F
3.10.2.9.4,Quebec,75 years and over,Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753828,N/A,F
3.10.2.5.1,Quebec,75 years and over,Male,Dissatisfied,Number of persons,Persons,thousands,v116753829,N/A,F
3.10.2.5.2,Quebec,75 years and over,Male,Dissatisfied,Percentage of persons,Percent,units ,v116753830,N/A,F
3.10.2.5.3,Quebec,75 years and over,Male,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753831,N/A,F
3.10.2.5.4,Quebec,75 years and over,Male,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753832,N/A,F
3.10.2.6.1,Quebec,75 years and over,Male,Very dissatisfied,Number of persons,Persons,thousands,v116753833,N/A,F
3.10.2.6.2,Quebec,75 years and over,Male,Very dissatisfied,Percentage of persons,Percent,units ,v116753834,N/A,F
3.10.2.6.3,Quebec,75 years and over,Male,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753835,N/A,F
3.10.2.6.4,Quebec,75 years and over,Male,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753836,N/A,F
3.10.2.7.1,Quebec,75 years and over,Male,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116753837,N/A,F
3.10.2.7.2,Quebec,75 years and over,Male,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116753838,N/A,F
3.10.2.7.3,Quebec,75 years and over,Male,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116753839,N/A,F
3.10.2.7.4,Quebec,75 years and over,Male,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116753840,N/A,F
3.10.3.1.1,Quebec,75 years and over,Female,"Total, job satisfaction",Number of persons,Persons,thousands,v116753841,N/A,F
3.10.3.1.2,Quebec,75 years and over,Female,"Total, job satisfaction",Percentage of persons,Percent,units ,v116753842,N/A,F
3.10.3.1.3,Quebec,75 years and over,Female,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116753843,N/A,F
3.10.3.1.4,Quebec,75 years and over,Female,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116753844,N/A,F
3.10.3.8.1,Quebec,75 years and over,Female,Very satisfied or satisfied,Number of persons,Persons,thousands,v116753845,N/A,F
3.10.3.8.2,Quebec,75 years and over,Female,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116753846,N/A,F
3.10.3.8.3,Quebec,75 years and over,Female,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753847,N/A,F
3.10.3.8.4,Quebec,75 years and over,Female,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116753848,N/A,F
3.10.3.2.1,Quebec,75 years and over,Female,Very satisfied,Number of persons,Persons,thousands,v116753849,N/A,F
3.10.3.2.2,Quebec,75 years and over,Female,Very satisfied,Percentage of persons,Percent,units ,v116753850,N/A,F
3.10.3.2.3,Quebec,75 years and over,Female,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753851,N/A,F
3.10.3.2.4,Quebec,75 years and over,Female,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116753852,N/A,F
3.10.3.3.1,Quebec,75 years and over,Female,Satisfied,Number of persons,Persons,thousands,v116753853,N/A,F
3.10.3.3.2,Quebec,75 years and over,Female,Satisfied,Percentage of persons,Percent,units ,v116753854,N/A,F
3.10.3.3.3,Quebec,75 years and over,Female,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753855,N/A,F
3.10.3.3.4,Quebec,75 years and over,Female,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116753856,N/A,F
3.10.3.4.1,Quebec,75 years and over,Female,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116753857,N/A,F
3.10.3.4.2,Quebec,75 years and over,Female,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116753858,N/A,F
3.10.3.4.3,Quebec,75 years and over,Female,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753859,N/A,F
3.10.3.4.4,Quebec,75 years and over,Female,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753860,N/A,F
3.10.3.9.1,Quebec,75 years and over,Female,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116753861,N/A,F
3.10.3.9.2,Quebec,75 years and over,Female,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116753862,N/A,F
3.10.3.9.3,Quebec,75 years and over,Female,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753863,N/A,F
3.10.3.9.4,Quebec,75 years and over,Female,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753864,N/A,F
3.10.3.5.1,Quebec,75 years and over,Female,Dissatisfied,Number of persons,Persons,thousands,v116753865,N/A,F
3.10.3.5.2,Quebec,75 years and over,Female,Dissatisfied,Percentage of persons,Percent,units ,v116753866,N/A,F
3.10.3.5.3,Quebec,75 years and over,Female,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753867,N/A,F
3.10.3.5.4,Quebec,75 years and over,Female,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753868,N/A,F
3.10.3.6.1,Quebec,75 years and over,Female,Very dissatisfied,Number of persons,Persons,thousands,v116753869,N/A,F
3.10.3.6.2,Quebec,75 years and over,Female,Very dissatisfied,Percentage of persons,Percent,units ,v116753870,N/A,F
3.10.3.6.3,Quebec,75 years and over,Female,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753871,N/A,F
3.10.3.6.4,Quebec,75 years and over,Female,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753872,N/A,F
3.10.3.7.1,Quebec,75 years and over,Female,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116753873,N/A,F
3.10.3.7.2,Quebec,75 years and over,Female,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116753874,N/A,F
3.10.3.7.3,Quebec,75 years and over,Female,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116753875,N/A,F
3.10.3.7.4,Quebec,75 years and over,Female,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116753876,N/A,F
4.1.1.1.1,Ontario,"Total, 15 years and over",Both sexes,"Total, job satisfaction",Number of persons,Persons,thousands,v116320011,5956.0,N/A
4.1.1.1.2,Ontario,"Total, 15 years and over",Both sexes,"Total, job satisfaction",Percentage of persons,Percent,units ,v116320012,100.0,N/A
4.1.1.1.3,Ontario,"Total, 15 years and over",Both sexes,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116320013,100.0,N/A
4.1.1.1.4,Ontario,"Total, 15 years and over",Both sexes,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116320014,100.0,N/A
4.1.1.8.1,Ontario,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,Number of persons,Persons,thousands,v116753877,4805.0,N/A
4.1.1.8.2,Ontario,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116753878,80.7,N/A
4.1.1.8.3,Ontario,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753879,78.6,N/A
4.1.1.8.4,Ontario,"Total, 15 years and over",Both sexes,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116753880,82.6,N/A
4.1.1.2.1,Ontario,"Total, 15 years and over",Both sexes,Very satisfied,Number of persons,Persons,thousands,v116320015,1939.0,N/A
4.1.1.2.2,Ontario,"Total, 15 years and over",Both sexes,Very satisfied,Percentage of persons,Percent,units ,v116320016,32.6,N/A
4.1.1.2.3,Ontario,"Total, 15 years and over",Both sexes,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116320017,30.4,N/A
4.1.1.2.4,Ontario,"Total, 15 years and over",Both sexes,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116320018,34.8,N/A
4.1.1.3.1,Ontario,"Total, 15 years and over",Both sexes,Satisfied,Number of persons,Persons,thousands,v116320019,2866.0,N/A
4.1.1.3.2,Ontario,"Total, 15 years and over",Both sexes,Satisfied,Percentage of persons,Percent,units ,v116320020,48.1,N/A
4.1.1.3.3,Ontario,"Total, 15 years and over",Both sexes,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116320021,45.7,N/A
4.1.1.3.4,Ontario,"Total, 15 years and over",Both sexes,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116320022,50.6,N/A
4.1.1.4.1,Ontario,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116320023,691.0,N/A
4.1.1.4.2,Ontario,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116320024,11.6,N/A
4.1.1.4.3,Ontario,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116320025,10.0,N/A
4.1.1.4.4,Ontario,"Total, 15 years and over",Both sexes,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116320026,13.4,N/A
4.1.1.9.1,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116753881,418.0,N/A
4.1.1.9.2,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116753882,7.0,N/A
4.1.1.9.3,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753883,5.8,N/A
4.1.1.9.4,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753884,8.5,N/A
4.1.1.5.1,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied,Number of persons,Persons,thousands,v116320027,324.0,N/A
4.1.1.5.2,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied,Percentage of persons,Percent,units ,v116320028,5.4,N/A
4.1.1.5.3,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116320029,4.3,N/A
4.1.1.5.4,Ontario,"Total, 15 years and over",Both sexes,Dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116320030,6.8,N/A
4.1.1.6.1,Ontario,"Total, 15 years and over",Both sexes,Very dissatisfied,Number of persons,Persons,thousands,v116320031,94.0,E
4.1.1.6.2,Ontario,"Total, 15 years and over",Both sexes,Very dissatisfied,Percentage of persons,Percent,units ,v116320032,1.6,E
4.1.1.6.3,Ontario,"Total, 15 years and over",Both sexes,Very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116320033,1.1,N/A
4.1.1.6.4,Ontario,"Total, 15 years and over",Both sexes,Very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116320034,2.3,N/A
4.1.1.7.1,Ontario,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,Number of persons,Persons,thousands,v116320035,42.0,E
4.1.1.7.2,Ontario,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,Percentage of persons,Percent,units ,v116320036,0.7,E
4.1.1.7.3,Ontario,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,"Low 95% confidence interval, percent",Percent,units ,v116320037,0.4,N/A
4.1.1.7.4,Ontario,"Total, 15 years and over",Both sexes,Don't know/refusal/not stated,"High 95% confidence interval, percent",Percent,units ,v116320038,1.2,N/A
4.1.2.1.1,Ontario,"Total, 15 years and over",Male,"Total, job satisfaction",Number of persons,Persons,thousands,v116320039,3072.0,N/A
4.1.2.1.2,Ontario,"Total, 15 years and over",Male,"Total, job satisfaction",Percentage of persons,Percent,units ,v116320040,100.0,N/A
4.1.2.1.3,Ontario,"Total, 15 years and over",Male,"Total, job satisfaction","Low 95% confidence interval, percent",Percent,units ,v116320041,100.0,N/A
4.1.2.1.4,Ontario,"Total, 15 years and over",Male,"Total, job satisfaction","High 95% confidence interval, percent",Percent,units ,v116320042,100.0,N/A
4.1.2.8.1,Ontario,"Total, 15 years and over",Male,Very satisfied or satisfied,Number of persons,Persons,thousands,v116753885,2419.0,N/A
4.1.2.8.2,Ontario,"Total, 15 years and over",Male,Very satisfied or satisfied,Percentage of persons,Percent,units ,v116753886,78.8,N/A
4.1.2.8.3,Ontario,"Total, 15 years and over",Male,Very satisfied or satisfied,"Low 95% confidence interval, percent",Percent,units ,v116753887,75.5,N/A
4.1.2.8.4,Ontario,"Total, 15 years and over",Male,Very satisfied or satisfied,"High 95% confidence interval, percent",Percent,units ,v116753888,81.7,N/A
4.1.2.2.1,Ontario,"Total, 15 years and over",Male,Very satisfied,Number of persons,Persons,thousands,v116320043,992.0,N/A
4.1.2.2.2,Ontario,"Total, 15 years and over",Male,Very satisfied,Percentage of persons,Percent,units ,v116320044,32.3,N/A
4.1.2.2.3,Ontario,"Total, 15 years and over",Male,Very satisfied,"Low 95% confidence interval, percent",Percent,units ,v116320045,29.1,N/A
4.1.2.2.4,Ontario,"Total, 15 years and over",Male,Very satisfied,"High 95% confidence interval, percent",Percent,units ,v116320046,35.7,N/A
4.1.2.3.1,Ontario,"Total, 15 years and over",Male,Satisfied,Number of persons,Persons,thousands,v116320047,1427.0,N/A
4.1.2.3.2,Ontario,"Total, 15 years and over",Male,Satisfied,Percentage of persons,Percent,units ,v116320048,46.5,N/A
4.1.2.3.3,Ontario,"Total, 15 years and over",Male,Satisfied,"Low 95% confidence interval, percent",Percent,units ,v116320049,42.8,N/A
4.1.2.3.4,Ontario,"Total, 15 years and over",Male,Satisfied,"High 95% confidence interval, percent",Percent,units ,v116320050,50.1,N/A
4.1.2.4.1,Ontario,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,Number of persons,Persons,thousands,v116320051,410.0,N/A
4.1.2.4.2,Ontario,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,Percentage of persons,Percent,units ,v116320052,13.3,N/A
4.1.2.4.3,Ontario,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116320053,10.9,N/A
4.1.2.4.4,Ontario,"Total, 15 years and over",Male,Neither satisfied nor dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116320054,16.3,N/A
4.1.2.9.1,Ontario,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,Number of persons,Persons,thousands,v116753889,227.0,N/A
4.1.2.9.2,Ontario,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,Percentage of persons,Percent,units ,v116753890,7.4,N/A
4.1.2.9.3,Ontario,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,"Low 95% confidence interval, percent",Percent,units ,v116753891,5.6,N/A
4.1.2.9.4,Ontario,"Total, 15 years and over",Male,Dissatisfied or very dissatisfied,"High 95% confidence interval, percent",Percent,units ,v116753892,9.6,N/A
4.1.2.5.1,Ontario,"Total, 15 years and over",Male,Dissatisfied,Number of persons,Persons,thousands,v116320055,172.0,E
